Age,Spending Score (1-100),segmentasi
19,39,0
21,81,2
20,6,3
23,77,2
31,40,0
22,76,2
35,6,3
23,94,2
64,3,3
30,72,2
67,14,3
35,99,2
58,15,3
24,77,2
37,13,3
22,79,2
35,35,0
20,66,0
52,29,3
35,98,2
35,35,0
25,73,2
46,5,3
31,73,2
54,14,3
29,82,2
45,32,3
35,61,0
40,31,3
23,87,2
60,4,3
21,73,2
53,4,3
18,92,2
49,14,3
21,81,2
42,17,3
30,73,2
36,26,3
20,75,2
65,35,1
24,92,2
48,36,1
31,61,0
49,28,3
24,65,0
50,55,1
27,47,0
29,42,0
31,42,0
49,52,1
33,60,0
31,54,0
59,60,1
50,45,1
47,41,1
51,50,1
69,46,1
27,51,0
53,46,1
70,56,1
19,55,0
67,52,1
54,59,1
63,51,1
18,59,0
43,50,1
68,48,1
19,59,0
32,47,0
70,55,1
47,42,1
60,49,1
60,56,1
59,47,1
26,54,0
45,53,1
40,48,0
23,52,0
49,42,1
57,51,1
38,55,0
67,41,1
46,44,1
21,57,0
48,46,1
55,58,1
22,55,0
34,60,0
50,46,1
68,55,1
18,41,0
48,49,1
40,40,0
32,42,0
24,52,0
47,47,1
27,50,0
48,42,1
20,49,0
23,41,0
49,48,1
67,59,1
26,55,0
49,56,1
21,42,0
66,50,1
54,46,1
68,43,1
66,48,1
65,52,1
19,54,0
38,42,0
19,46,0
18,48,0
19,50,0
63,43,1
49,59,1
51,43,1
50,57,1
27,56,0
38,40,0
40,58,0
39,91,2
23,29,0
31,77,2
43,35,1
40,95,2
59,11,3
38,75,2
47,9,3
39,75,2
25,34,0
31,71,2
20,5,3
29,88,2
44,7,3
32,73,2
19,10,3
35,72,2
57,5,3
32,93,2
28,40,0
32,87,2
25,12,3
28,97,2
48,36,1
32,74,2
34,22,3
34,90,2
43,17,3
39,88,2
44,20,3
38,76,2
47,16,3
27,89,2
37,1,3
30,78,2
34,1,3
30,73,2
56,35,1
29,83,2
19,5,3
31,93,2
50,26,3
36,75,2
42,20,3
33,95,2
36,27,3
32,63,0
40,13,3
28,75,2
36,10,3
36,92,2
52,13,3
30,86,2
58,15,3
27,69,2
59,14,3
35,90,2
37,32,3
32,86,2
46,15,3
29,88,2
41,39,0
30,97,2
54,24,3
28,68,2
41,17,3
36,85,2
34,23,3
32,69,2
33,8,3
38,91,2
47,16,3
35,79,2
45,28,3
32,74,2
32,18,3
30,83,2
